Date,Facebook,Apple,Google,Tesla,Intel,Advanced Micro Devices,Microsoft,Genpact
04-01-2019,137.949997,145.326126,1078.069946,317.690002,45.587357,19,100.171211,26.798355
07-01-2019,138.050003,145.002686,1075.920044,334.959991,45.799751,20.57,100.298965,27.005938
08-01-2019,142.529999,147.766861,1085.369995,335.350006,46.089378,20.75,101.026199,27.470537
09-01-2019,144.229996,150.276199,1081.650024,338.529999,46.350037,20.190001,102.470825,27.500193
10-01-2019,144.199997,150.756531,1078.829956,344.970001,46.881027,19.74,101.812401,27.381571
11-01-2019,143.800003,149.276382,1064.469971,347.26001,47.238232,20.27,101.026199,27.668236
14-01-2019,145.389999,147.031708,1051.51001,334.399994,46.678284,20.23,100.289146,27.480419
15-01-2019,148.949997,150.04097,1086.51001,344.429993,46.91964,20.379999,103.198067,27.98456
16-01-2019,147.539993,151.873962,1089.51001,346.049988,46.465889,19.73,103.561684,28.221798
17-01-2019,148.300003,152.775742,1099.119995,347.309998,46.794132,20.25,104.288918,28.498581
18-01-2019,150.039993,153.716751,1107.300049,302.26001,47.489243,20.77,105.851479,28.884098
22-01-2019,147.570007,150.266403,1078.630005,298.920013,46.601051,19.76,103.856506,28.636971
23-01-2019,144.300003,150.87413,1084.410034,287.589996,46.282455,19.799999,104.868729,28.597433
24-01-2019,145.830002,149.678253,1084,291.51001,48.039532,20.85,104.367531,28.716051
25-01-2019,149.009995,154.638153,1101.51001,297.040009,45.413586,21.93,105.320793,29.032373
28-01-2019,147.470001,153.207047,1079.859985,296.380005,45.094986,20.18,103.266861,28.903868
29-01-2019,144.190002,151.61908,1070.060059,297.459991,44.930866,19.25,101.163788,28.903868
30-01-2019,150.419998,161.979935,1097.98999,308.769989,45.896294,23.09,104.544426,29.279499
31-01-2019,166.690002,163.146362,1125.890015,307.019989,45.490814,24.41,102.628075,29.487085
01-02-2019,165.710007,163.224792,1118.619995,312.209991,47.045139,24.51,101.006546,29.773752
04-02-2019,169.25,167.861191,1141.420044,312.890015,47.518208,24.129999,103.915466,30.277887
